id|name
1273|Волчанск (Свердловская область)
1274|Дегтярск
1275|Заречный (Свердловская область)
1276|Ивдель
1277|Ирбит
1278|Каменск-Уральский
1279|Камышлов
1280|Карпинск
1281|Качканар
1282|Кировград
1283|Краснотурьинск
1284|Красноуральск
1285|Красноуфимск
1286|Кушва
1287|Лесной
1288|Михайловск (Свердловская область)
1289|Невьянск
1290|Нижние Серги
1291|Нижний Тагил
1292|Нижняя Салда
1293|Нижняя Тура
1294|Новая Ляля
1295|Новоуральск
1296|Первоуральск
1297|Полевской
1298|Ревда (Свердловская область)
1299|Реж
1300|Североуральск
1301|Серов
1302|Среднеуральск
1303|Сухой Лог
1304|Сысерть
1305|Тавда
1306|Талица
1307|Туринск
1309|Далматово
1310|Катайск
1311|Куртамыш
1312|Макушино
1313|Петухово
1314|Шадринск
1315|Шумиха
1316|Щучье
1318|Александровск (Пермский край)
1319|Березники
1320|Верещагино
1321|Горнозаводск
1322|Гремячинск
1323|Губаха
1324|Добрянка
1325|Кизел
1326|Красновишерск
1327|Краснокамск
1328|Кудымкар
1329|Кунгур
1330|Лысьва
1331|Нытва
1332|Оса
1333|Оханск
1334|Очер
1335|Соликамск
1336|Усолье
1337|Чайковский
1338|Чердынь
1339|Чермоз
1340|Чернушка
1341|Чусовой
1343|Заводоуковск
1344|Ишим
1345|Тобольск
1346|Ялуторовск
1348|Агидель
1349|Баймак
1350|Белебей
1351|Белорецк
1352|Бирск
1353|Благовещенск (Республика Башкортостан)
1354|Давлеканово
1355|Дюртюли
1356|Ишимбай
1357|Кумертау
1358|Межгорье (Республика Башкортостан)
1359|Мелеуз
1360|Нефтекамск
1361|Октябрьский (Республика Башкортостан)
1362|Салават
1363|Сибай
1364|Стерлитамак
1365|Туймазы
1366|Учалы
1367|Янаул
1369|Белоярский
1370|Когалым
1371|Лангепас
1372|Лянтор
1373|Мегион
1374|Нефтеюганск
1375|Нижневартовск
1376|Нягань
1377|Покачи
1378|Пыть-Ях
1379|Радужный (Ханты-Мансийский АО - Югра)
1380|Советский (Ханты-Мансийский АО)
1381|Сургут
1382|Урай
1383|Югорск
1385|Аша
1386|Бакал
1387|Верхнеуральск
1388|Верхний Уфалей
1389|Еманжелинск
1390|Златоуст
1391|Карабаш (Челябинская область)
1392|Карталы
1393|Касли
1394|Катав-Ивановск
1395|Копейск
1396|Коркино
1397|Куса
1398|Кыштым
1399|Магнитогорск
1400|Миасс
1401|Миньяр
1402|Нязепетровск
1403|Озерск (Челябинская область)
1404|Пласт
1405|Сатка
1406|Сим
1407|Снежинск
1408|Трехгорный
1409|Троицк (Челябинская область)
1410|Усть-Катав
1411|Чебаркуль
1412|Южноуральск
1413|Юрюзань
1415|Губкинский
1416|Лабытнанги
1417|Муравленко
1418|Надым
1419|Новый Уренгой
1420|Ноябрьск
1421|Тарко-Сале
1423|Адыгейск
1425|Буйнакск
1426|Дагестанские Огни
1427|Дербент
1428|Избербаш
1429|Каспийск
1430|Кизилюрт
1431|Кизляр
1432|Хасавюрт
1433|Южно-Сухокумск
1435|Карабулак
1436|Малгобек
1437|Назрань
1439|Абинск
1440|Анапа
1441|Апшеронск
1442|Армавир
1443|Белореченск
1444|Геленджик
1445|Горячий Ключ
1446|Гулькевичи
1447|Ейск
1448|Кореновск
1449|Кропоткин
1450|Крымск
1451|Курганинск
1452|Лабинск
1453|Новокубанск
1454|Новороссийск
1455|Приморско-Ахтарск
1456|Славянск-на-Кубани
1457|Темрюк
1458|Тимашевск
1459|Тихорецк
1460|Туапсе
1461|Усть-Лабинск
1462|Хадыженск
1464|Баксан
1465|Майский
1466|Нарткала
1467|Прохладный
1468|Терек
1469|Тырныауз
1470|Чегем
1472|Карачаевск
1473|Теберда
1474|Усть-Джегута
1476|Алагир
1477|Ардон
1478|Беслан
1479|Дигора
1480|Моздок
1482|Благодарный
1483|Буденновск
1484|Георгиевск
1485|Ессентуки
1486|Железноводск
1487|Зеленокумск
1488|Изобильный
1489|Ипатово
1490|Кисловодск
1491|Лермонтов
1492|Минеральные Воды
1493|Михайловск (Ставропольский край)
1494|Невинномысск
1495|Нефтекумск
1496|Новоалександровск
1497|Новопавловск
1498|Пятигорск
1499|Светлоград
1501|Аргун
1502|Гудермес
1503|Урус-Мартан
1504|Шали
1506|Ахтубинск
1507|Знаменск
1508|Камызяк
1509|Нариманов
1510|Харабали
1512|Волжский (Волгоградская область)
1513|Дубовка
1514|Жирновск
1515|Калач-на-Дону
1516|Камышин
1517|Котельниково
1518|Котово
1519|Краснослободск (Волгоградская область)
1520|Ленинск
1521|Михайловка (Волгоградская область)
1522|Николаевск
1523|Новоаннинский
1524|Палласовка
1525|Петров Вал
1526|Серафимович
1527|Суровикино
1528|Урюпинск
1529|Фролово
1531|Азов
1532|Аксай (Ростовская область)
1533|Батайск
1534|Белая Калитва
1535|Волгодонск
1536|Гуково
1537|Донецк (Ростовская область)
1538|Зверево
1539|Зерноград
1540|Каменск-Шахтинский
1541|Константиновск
1542|Красный Сулин
1543|Миллерово
1544|Морозовск
1545|Новочеркасск
1546|Новошахтинск
1547|Пролетарск
1548|Сальск
1549|Семикаракорск
1550|Таганрог
1551|Цимлянск
1552|Шахты
1554|Городовиковск
1555|Лагань
1557|Ардатов
1558|Инсар
1559|Ковылкино
1560|Краснослободск (Республика Мордовия)
1561|Рузаевка
1562|Темников
1564|Абдулино
1565|Бугуруслан
1566|Бузулук
1567|Гай
1568|Кувандык
1569|Медногорск
1570|Новотроицк (Оренбургская область)
1571|Орск
1572|Соль-Илецк
1573|Сорочинск
1574|Ясный
1576|Белинский
1577|Городище (Пензенская область)
1578|Заречный (Пензенская область)
1579|Каменка (Пензенская область)
1580|Кузнецк
1581|Нижний Ломов
1582|Никольск (Пензенская область)
1583|Сердобск
1584|Спасск
1585|Сурск
1587|Жигулевск
1588|Кинель
1589|Нефтегорск (Самарская область)
1590|Новокуйбышевск
1591|Октябрьск
1592|Отрадный (Самарская область)
1593|Похвистнево
1594|Сызрань
1595|Чапаевск
1597|Аркадак
1598|Аткарск
1599|Балаково
1600|Балашов
1601|Вольск
1602|Ершов
1603|Калининск
1604|Красноармейск (Саратовская область)
1605|Красный Кут
1606|Маркс
1607|Новоузенск
1608|Петровск
1609|Пугачев
1610|Ртищево
1611|Хвалынск
1612|Шиханы
1613|Энгельс
1615|Барыш
1616|Димитровград
1617|Инза
1618|Новоульяновск
1619|Сенгилей
1621|Волжск
1622|Звенигово
1623|Козьмодемьянск
1625|Агрыз
1626|Азнакаево
1627|Альметьевск
1628|Арск
1629|Бавлы
1630|Болгар
1631|Бугульма
1632|Буинск
1633|Елабуга
1634|Заинск
1635|Зеленодольск (Республика Татарстан)
1636|Лаишево
1637|Лениногорск
1638|Мамадыш
1639|Менделеевск
1640|Мензелинск
1641|Набережные Челны
1642|Нижнекамск
1643|Нурлат
1644|Тетюши
1645|Чистополь
1647|Воткинск
1648|Глазов
1649|Камбарка
1650|Можга
1651|Сарапул
1653|Алатырь
1654|Канаш
1655|Козловка
1656|Мариинский Посад
1657|Новочебоксарск
1658|Цивильск
1659|Шумерля
1660|Ядрин
1662|Белая Холуница
1663|Вятские Поляны
1664|Зуевка
1665|Кирово-Чепецк
1666|Кирс
1667|Котельнич
1668|Луза
1669|Малмыж
1670|Мураши
1671|Нолинск
1672|Омутнинск
1673|Орлов
1674|Слободской
1675|Советск (Кировская область)
1676|Сосновка
1677|Уржум
1678|Яранск
1680|Балахна
1681|Богородск
1682|Бор
1683|Ветлуга
1684|Володарск
1685|Ворсма
1686|Выкса
1687|Горбатов
1688|Городец
1689|Заволжье
1690|Княгинино
1691|Кстово
1692|Кулебаки
1693|Лукоянов
1694|Лысково
1695|Навашино
1696|Павлово
1697|Первомайск (Нижегородская область)
1698|Перевоз
1699|Семенов
1700|Сергач
1701|Урень
1702|Чкаловск
1703|Шахунья
1705|Касимов
1706|Кораблино
1707|Михайлов
1708|Новомичуринск
1709|Рыбное
1710|Ряжск
1711|Сасово
1712|Скопин
1713|Спас-Клепики
1714|Спасск-Рязанский
1715|Шацк (Рязанская область)
1717|Александров
1718|Вязники
1719|Гороховец
1720|Гусь-Хрустальный
1721|Камешково
1722|Карабаново
1723|Киржач
1724|Ковров
1725|Кольчугино
1726|Костерево
1727|Курлово
1728|Лакинск
1729|Меленки
1730|Муром
1731|Петушки
1732|Покров
1733|Радужный (Владимирская область)
1734|Собинка
1735|Струнино
1736|Судогда
1737|Суздаль
1738|Юрьев-Польский
1740|Бабаево
1741|Белозерск
1742|Великий Устюг
1743|Вытегра
1744|Грязовец
1745|Кадников
1746|Кириллов
1747|Красавино
1748|Никольск (Вологодская область)
1749|Сокол
1750|Тотьма
1751|Устюжна
1752|Харовск
1753|Череповец
1755|Вичуга
1756|Гаврилов Посад
1757|Заволжск
1758|Кинешма
1759|Комсомольск (Ивановская область)
1760|Кохма
1761|Наволоки
1762|Плес
1763|Приволжск
1764|Пучеж
1765|Родники
1766|Тейково
1767|Фурманов
1768|Шуя
1769|Южа
1770|Юрьевец
1772|Буй
1773|Волгореченск
1774|Галич (Костромская область)
1775|Кологрив
1776|Макарьев
1777|Мантурово
1778|Нерехта
1779|Нея
1780|Солигалич
1781|Чухлома
1782|Шарья
1784|Андреаполь
1785|Бежецк
1786|Белый
1787|Бологое
1788|Весьегонск
1789|Вышний Волочек
1790|Западная Двина
1791|Зубцов
1792|Калязин
1793|Кашин
1794|Кимры
1795|Конаково
1796|Красный Холм
1797|Кувшиново
1798|Лихославль
1799|Нелидово
1800|Осташков
1801|Ржев
1802|Старица
1803|Торжок
1804|Торопец
1805|Удомля
1807|Гаврилов-Ям
1808|Данилов
1809|Любим
1810|Мышкин
1811|Переславль-Залесский
1812|Пошехонье
1813|Ростов (Ярославская область)
1814|Рыбинск
1815|Тутаев
1816|Углич
1818|Алексеевка
1819|Бирюч
1820|Валуйки
1821|Грайворон
1822|Губкин
1823|Короча
1824|Новый Оскол
1825|Старый Оскол
1826|Строитель (Белгородская область)
1827|Шебекино
1829|Дятьково
1830|Жуковка (Брянская область)
1831|Злынка
1832|Карачев
1833|Клинцы
1834|Мглин
1835|Новозыбков
1836|Почеп
1837|Севск
1838|Сельцо
1839|Стародуб
1840|Сураж
1841|Трубчевск
1842|Унеча
1843|Фокино (Брянская область)
1845|Бобров
1846|Богучар
1847|Борисоглебск
1848|Бутурлиновка
1849|Калач
1850|Лиски
1851|Нововоронеж
1852|Новохоперск
1853|Острогожск
1854|Павловск (Воронежская область)
1855|Поворино
1856|Россошь
1857|Семилуки
1858|Эртиль
1860|Балабаново
1861|Белоусово
1862|Боровск
1863|Ермолино (Калужская область)
1864|Жиздра
1865|Жуков
1866|Киров (Калужская область)
1867|Козельск
1868|Кондрово
1869|Кременки
1870|Людиново
1871|Малоярославец
1872|Медынь
1873|Мещовск
1874|Мосальск
1875|Сосенский
1876|Спас-Деменск
1877|Сухиничи
1878|Таруса
1879|Юхнов
1881|Дмитриев-Льговский
1882|Железногорск (Курская область)
1883|Курчатов
1884|Льгов
1885|Обоянь
1886|Рыльск
1887|Суджа
1888|Фатеж
1889|Щигры
1891|Грязи
1892|Данков
1893|Елец
1894|Задонск
1895|Лебедянь
1896|Усмань
1897|Чаплыгин
1899|Болхов
1900|Дмитровск
1901|Ливны
1902|Малоархангельск
1903|Мценск
1904|Новосиль
1906|Жердевка
1907|Кирсанов
1908|Котовск (Тамбовская область)
1909|Мичуринск
1910|Моршанск
1911|Рассказово
1912|Уварово
1914|Алексин
1915|Белев
1916|Богородицк
1917|Болохово
1918|Венев
1919|Донской
1920|Ефремов
1921|Кимовск
1922|Киреевск
1923|Липки
1924|Новомосковск (Тульская область)
1925|Плавск
1926|Советск (Тульская область)
1927|Суворов
1928|Узловая
1929|Чекалин
1930|Щекино
1931|Ясногорск
1933|Белогорск
1934|Завитинск
1935|Зея
1936|Райчихинск
1937|Свободный
1938|Сковородино
1939|Тында
1940|Шимановск
1942|Облучье
1944|Вилючинск
1945|Елизово
1947|Сусуман
1949|Арсеньев
1950|Артем
1951|Большой Камень
1952|Дальнегорск
1953|Дальнереченск
1954|Лесозаводск
1955|Находка
1956|Партизанск
1957|Спасск-Дальний
1958|Уссурийск
1959|Фокино (Приморский край)
1961|Александровск-Сахалинский
1962|Анива
1963|Долинск
1964|Корсаков
1965|Курильск
1966|Макаров (Сахалинская область)
1967|Невельск
1968|Оха
1969|Поронайск
1970|Северо-Курильск
1971|Томари
1972|Углегорск
1973|Холмск
1974|Шахтерск (Сахалинская область)
1976|Амурск
1977|Бикин
1978|Вяземский
1979|Комсомольск-на-Амуре
1980|Николаевск-на-Амуре
1981|Советская Гавань
1983|Билибино
1984|Певек
1986|Нарьян-Мар
1987|Волосово
1988|Бокситогорск
1989|Волхов
1990|Всеволожск
1991|Выборг
1992|Высоцк
1993|Гатчина
1994|Ивангород
1995|Каменногорск
1996|Кингисепп
1997|Кириши
1998|Кировск (Ленинградская область)
1999|Коммунар
2000|Лодейное Поле
2001|Ломоносов
2002|Луга
2003|Любань (Ленинградская область)
2004|Никольское
2005|Новая Ладога
2006|Отрадное (Ленинградская область)
2007|Пикалево
2008|Подпорожье
2009|Приморск (Ленинградская область)
2010|Приозерск
2011|Светогорск
2012|Сертолово
2013|Сланцы
2014|Сосновый Бор (Ленинградская область)
2015|Сясьстрой
2016|Тихвин
2017|Тосно
2018|Шлиссельбург
2020|Балашиха
2021|Волоколамск
2022|Воскресенск
2023|Дмитров
2024|Яхрома
2025|Домодедово
2026|Егорьевск
2027|Зарайск
2028|Истра
2029|Кашира
2030|Ожерелье
2031|Высоковск
2032|Клин
2033|Коломна
2034|Красногорск
2035|Видное
2036|Московский
2037|Луховицы
2038|Котельники
2039|Люберцы
2040|Можайск
2041|Мытищи
2042|Апрелевка
2043|Верея
2044|Наро-Фоминск
2045|Ногинск
2046|Старая Купавна
2047|Черноголовка
2048|Электроугли
2049|Голицыно
2050|Звенигород
2051|Краснознаменск (Московская область)
2052|Кубинка
2053|Одинцово
2054|Озеры
2055|Дрезна
2056|Куровское
2057|Ликино-Дулево
2058|Орехово-Зуево
2059|Павловский Посад
2060|Климовск (Московская область)
2061|Подольск (Московская область)
2062|Пушкино (Московская область)
2063|Бронницы
2064|Жуковский
2065|Раменское
2066|Руза
2067|Краснозаводск
2068|Пересвет
2069|Сергиев Посад
2070|Хотьково
2071|Протвино
2072|Пущино
2073|Серпухов
2074|Солнечногорск
2075|Ступино
2076|Талдом
2077|Химки
2078|Чехов
2079|Рошаль
2080|Шатура
2081|Лосино-Петровский
2082|Фрязино
2083|Щелково
2084|Дзержинский
2085|Долгопрудный
2086|Дубна
2087|Железнодорожный
2088|Зеленоград
2089|Ивантеевка
2090|Королев
2091|Красноармейск (Московская область)
2092|Лобня
2093|Лыткарино
2094|Реутов
2095|Троицк (Московская область)
2096|Щербинка
2097|Электрогорск
2098|Электросталь
2099|Юбилейный (Московская область)
2100|Дедовск
2102|Рамешки
2104|Мариуполь
2115|Евпатория
2116|Керчь
2119|Феодосия
2120|Ялта
2135|Артемовск (Донецкая область)
2136|Горловка
2138|Енакиево
2139|Краматорск
2140|Макеевка
2142|Славянск
2143|Снежное
2144|Торез
2145|Харцызск
2146|Шахтерск (Донецкая область)
2156|Бердянск
2158|Мелитополь
2159|Энергодар
2174|Алчевск
2175|Красный Луч
2176|Лисичанск
2178|Северодонецк
2179|Стаханов
2210|Новая Каховка
2230|Зеленогорск (Ленинградская обл)
2377|Адлер
2381|Алушта
2382|Гурзуф
2383|Судак
2384|Коктебель
2385|Саки
2386|Джанкой
2387|Форос
2388|Инкерман
2389|Белогорск (Крым)
2390|Черноморское
2391|Красноперекопск
2392|Красногвардейское
2393|Первомайское (Республика Крым)
2397|Каменка (Воронежская область)
2399|Забайкальск
2432|Каневская
2433|Верхняя Хава
2436|Вельск
2438|Анна
2439|Дивеево
2441|Монино
2442|Эвенск
2444|Мостовской
2447|Ленинградская станица
2448|Динская станица
2449|Балтаси
2450|Пластун
2451|Ноглики
2452|Медвежье Озеро
2486|Кокошкино
2489|Хохольский
2490|Пушкин
2505|Брюховецкая станица
2506|Богучаны
2507|Сестрорецк
2508|Дружковка
2509|Ясиноватая
2512|Чаны
2513|Рубежное
2521|Кинель-Черкассы
2522|Красное Село
2553|Таловая
2554|Колпино
2628|Кукмор
2629|Шексна
2633|Октябрьский (Московская область, Люберецкий район)
2634|Нахабино
2638|Орловский
2639|Павловская
2640|Выселки
2641|Кабардинка
2642|Староминская
2643|Дивноморское
2645|Чекмагуш
2646|Клетня
2647|Новая Усмань
2648|Таксимо
2649|Южно-Курильск
2651|Светлый Яр
2652|Крыловская станица (Крыловский район)
2654|Кущевская станица
2655|Усть-Калманка
2656|Константиновка
2657|Софрино
2658|Северская станица
2659|Подгоренский
2660|Кантемировка
2661|Грибановский
2662|Рамонь
2663|Ольховатка
2664|Павловск (Ленинградская область)
2665|Довольное
2666|Мишкино
2667|Атяшево
2668|Думиничи
2670|Бижбуляк
2671|Еткуль
2672|Юргамыш
2677|Рогачево
2678|Старовеличковская
2679|Чишмы
2680|Приютово
2681|Шушары
2682|Ульяновка (Ленинградская область)
2683|Каргаполье
2684|Барда (Пермский край)
2685|Федоровский
2686|Излучинск
2687|Харп
2688|Уренгой
2689|Новотитаровская
2690|Ванино
2691|Новая Чара
2692|Ставрово
2693|Курсавка
2694|Тбилисская
2695|Алексеевское
2697|Нарышкино
2698|Алупка
2699|Армянск
2700|Бахчисарай
2701|Кировское (Республика Крым)
2702|Ленино
2703|Раздольное
2705|Старый Крым
2707|Базарный Карабулак
2708|Афипский
2709|Рудня (Волгоградская область)
2710|Иловля
2718|Куйбышево
2719|Новониколаевка
2720|Гуляйполе
2721|Розовка
2725|Пестрецы
2726|Камское Устье
2727|Апастово
2731|Красково
2732|Суксун
2733|Заокский
2734|Иннополис
2735|Рефтинский
2736|Приволжский
2737|Щёлкино
2738|Нижнегорский
2739|Советский (Республика Крым)
2750|Петергоф
2751|Оболенск
2753|Энем
2754|Архипо-Осиповка
2756|Себеж
2757|Колпна
2761|Селятино
2762|Безенчук
2799|Бондари
2800|Верховье
2801|Вольгинский
2802|Глазуновка
2803|Инжавино
2804|Первомайский (Тамбовская область)
2805|Красная Поляна
2806|Коноша
2808|Сонково
2809|Егорлыкская
2811|Голышманово
2812|Ферзиково
2817|Тацинская
2818|Вербилки
2819|Надвоицы
2945|Краснозёрское
2946|Сузун
2947|Максатиха
2948|Октябрьский (Архангельская область)
2953|Уруссу
2954|Яблоновский (Республика Адыгея)
2955|Малые Вязёмы
2956|Солнечный
2957|Колывань
2958|Свердловск
2959|Ува
2961|Кронштадт
2962|Чагода
2995|Озинки
2996|Белоозёрский (Московская область)
3029|Пестравка
